feature,class,molecule,genomic_accession,start,end,strand,product_accession,gene_family,gene,locus_tag,feature_interval_length,product_length,strain,startC1,endC1,startC2,endC2,strandC2
CDS,with_protein,GCF_018289135.1,NZ_CP072216.1,3477963,3478613,0,WP_004323496.1,MarC family protein,marC,INE92_RS14835,651,216,Bacteroides xylanisolvens CL11T00C03,13340,13990,13340,13990,0
CDS,with_protein,GCF_018292165.1,NZ_CP072255.1,4860098,4860763,1,WP_005835030.1,MarC family protein,marC,INE75_RS20085,666,221,Bacteroides uniformis CL03T12C37 ,0,665,42156,42821,0
CDS,with_protein,GCF_018292165.1,NZ_CP072255.1,4860823,4862340,0,WP_005835032.1,RagB/SusD family nutrient uptake outer membrane protein,susD,INE75_RS20090,1518,505,Bacteroides uniformis CL03T12C37 ,725,2242,40579,42096,1
CDS,with_protein,GCF_018292165.1,NZ_CP072255.1,4862358,4865156,0,WP_034523079.1,SusC/RagA family TonB-linked outer membrane protein,susC,INE75_RS20095,2799,932,Bacteroides uniformis CL03T12C37 ,2260,5058,37763,40561,1
CDS,with_protein,GCF_018292165.1,NZ_CP072255.1,4865805,4867124,1,WP_005835055.1,ATP-binding protein,other,INE75_RS20100,1320,439,Bacteroides uniformis CL03T12C37 ,5707,7026,35795,37114,0
CDS,with_protein,GCF_018292165.1,NZ_CP072255.1,4867449,4869047,0,WP_005835057.1,RagB/SusD family nutrient uptake outer membrane protein,susD,INE75_RS20105,1599,532,Bacteroides uniformis CL03T12C37 ,7351,8949,33872,35470,1
CDS,with_protein,GCF_018292165.1,NZ_CP072255.1,4869068,4871989,0,WP_034523086.1,SusC/RagA family TonB-linked outer membrane protein,susC,INE75_RS20110,2922,973,Bacteroides uniformis CL03T12C37 ,8970,11891,30930,33851,1
CDS,with_protein,GCF_018292165.1,NZ_CP072255.1,4872870,4874060,0,WP_005835062.1,site-specific integrase,xerC,INE75_RS20115,1191,396,Bacteroides uniformis CL03T12C37 ,12772,13962,28859,30049,1
CDS,with_protein,GCF_018292165.1,NZ_CP072255.1,4874514,3041,1,WP_005838277.1,TonB-dependent receptor,susC,INE75_RS00005,3261,1086,Bacteroides uniformis CL03T12C37 ,14416,17677,25144,28405,0
CDS,with_protein,GCF_018292165.1,NZ_CP072255.1,3060,4553,1,WP_005828414.1,RagB/SusD family nutrient uptake outer membrane protein,susD,INE75_RS00010,1494,497,Bacteroides uniformis CL03T12C37 ,17696,19189,23632,25125,0
CDS,without_protein,GCF_018292165.1,NZ_CP072255.1,4706,5848,0,,ATPase,other,INE75_RS00015,1143,,Bacteroides uniformis CL03T12C37 ,19342,20484,22337,23479,1
CDS,with_protein,GCF_018292165.1,NZ_CP072255.1,5984,7204,0,WP_005838282.1,ATP-binding protein,other,INE75_RS00020,1221,406,Bacteroides uniformis CL03T12C37 ,20620,21840,20981,22201,1
CDS,with_protein,GCF_018292165.1,NZ_CP072255.1,7673,10639,1,WP_034523081.1,SusC/RagA family TonB-linked outer membrane protein,susC,INE75_RS00025,2967,988,Bacteroides uniformis CL03T12C37 ,22309,25275,17546,20512,0
CDS,with_protein,GCF_018292165.1,NZ_CP072255.1,10668,12314,1,WP_005835044.1,RagB/SusD family nutrient uptake outer membrane protein,susD,INE75_RS00030,1647,548,Bacteroides uniformis CL03T12C37 ,25304,26950,15871,17517,0
CDS,with_protein,GCF_018292165.1,NZ_CP072255.1,12724,13308,1,WP_034523328.1,zeta toxin family protein,other,INE75_RS00035,585,194,Bacteroides uniformis CL03T12C37 ,27360,27944,14877,15461,0
CDS,with_protein,GCF_018292165.1,NZ_CP072255.1,13295,13486,1,WP_005835040.1,hypothetical protein,other,INE75_RS00040,192,63,Bacteroides uniformis CL03T12C37 ,27931,28122,14699,14890,0
CDS,with_protein,GCF_018292165.1,NZ_CP072255.1,14290,17226,1,WP_262483732.1,TonB-dependent receptor,susC,INE75_RS00045,2937,978,Bacteroides uniformis CL03T12C37 ,28926,31862,10959,13895,0
CDS,with_protein,GCF_018292165.1,NZ_CP072255.1,17245,18705,1,WP_005824584.1,RagB/SusD family nutrient uptake outer membrane protein,susD,INE75_RS00050,1461,486,Bacteroides uniformis CL03T12C37 ,31881,33341,9480,10940,0
CDS,with_protein,GCF_018292165.1,NZ_CP072255.1,18939,19436,0,WP_227980210.1,AAA family ATPase,other,INE75_RS00055,498,165,Bacteroides uniformis CL03T12C37 ,33575,34072,8749,9246,1
CDS,with_protein,GCF_018292165.1,NZ_CP072255.1,19841,20425,1,WP_005824335.1,zeta toxin family protein,other,INE75_RS00060,585,194,Bacteroides uniformis CL03T12C37 ,34477,35061,7760,8344,0
CDS,with_protein,GCF_018292165.1,NZ_CP072255.1,20412,20603,1,WP_005824336.1,hypothetical protein,other,INE75_RS00065,192,63,Bacteroides uniformis CL03T12C37 ,35048,35239,7582,7773,0
CDS,without_protein,GCF_018292165.1,NZ_CP072255.1,21268,24279,1,,SusC/RagA family TonB-linked outer membrane protein,susC,INE75_RS00070,3012,,Bacteroides uniformis CL03T12C37 ,35904,38915,3906,6917,0
CDS,with_protein,GCF_018292165.1,NZ_CP072255.1,24305,25933,1,WP_225982625.1,RagB/SusD family nutrient uptake outer membrane protein,susD,INE75_RS00075,1629,542,Bacteroides uniformis CL03T12C37 ,38941,40569,2252,3880,0
CDS,with_protein,GCF_018292165.1,NZ_CP072255.1,25965,26135,1,WP_005838284.1,hypothetical protein,other,INE75_RS20395,171,56,Bacteroides uniformis CL03T12C37 ,40601,40771,2050,2220,0
CDS,with_protein,GCF_018292165.1,NZ_CP072255.1,26190,26741,1,WP_005838286.1,hypothetical protein,other,INE75_RS00080,552,183,Bacteroides uniformis CL03T12C37 ,40826,41377,1444,1995,0
CDS,with_protein,GCF_018292165.1,NZ_CP072255.1,26929,28185,1,,,hflX,INE75_RS00085,1257,,Bacteroides uniformis CL03T12C37 ,41565,42821,0,1256,0
CDS,with_protein,GCF_031172035.1,NZ_CP133452.1,2037244,2037888,1,WP_005926121.1,MarC family protein,marC,RB604_RS07535,645,214,Bacteroides salyersiae CSP6,0,644,25666,26310,0
CDS,with_protein,GCF_031172035.1,NZ_CP133452.1,2038201,2040423,0,WP_055293475.1,M6 family metalloprotease domain-containing protein,other,RB604_RS07540,2223,740,Bacteroides salyersiae CSP6,957,3179,23131,25353,1
CDS,with_protein,GCF_031172035.1,NZ_CP133452.1,2040515,2041489,0,WP_005926116.1,hypothetical protein,other,RB604_RS07545,975,324,Bacteroides salyersiae CSP6,3271,4245,22065,23039,1
CDS,with_protein,GCF_031172035.1,NZ_CP133452.1,2041533,2043011,0,WP_005926113.1,RagB/SusD family nutrient uptake outer membrane protein,susD,RB604_RS07550,1479,492,Bacteroides salyersiae CSP6,4289,5767,20543,22021,1
CDS,with_protein,GCF_031172035.1,NZ_CP133452.1,2043025,2045931,0,WP_309009407.1,TonB-dependent receptor,susC,RB604_RS07555,2907,968,Bacteroides salyersiae CSP6,5781,8687,17623,20529,1
CDS,with_protein,GCF_031172035.1,NZ_CP133452.1,2046328,2048166,0,WP_055293483.1,thiol protease/hemagglutinin PrtT,other,RB604_RS07560,1839,612,Bacteroides salyersiae CSP6,9084,10922,15388,17226,1
CDS,with_protein,GCF_031172035.1,NZ_CP133452.1,2048282,2049208,0,WP_007478781.1,hypothetical protein,other,RB604_RS07565,927,308,Bacteroides salyersiae CSP6,11038,11964,14346,15272,1
CDS,with_protein,GCF_031172035.1,NZ_CP133452.1,2049239,2050888,0,WP_005926100.1,RagB/SusD family nutrient uptake outer membrane protein,susD,RB604_RS07570,1650,549,Bacteroides salyersiae CSP6,11995,13644,12666,14315,1
CDS,with_protein,GCF_031172035.1,NZ_CP133452.1,2050913,2053885,0,WP_259029937.1,TonB-dependent receptor,susC,RB604_RS07575,2973,990,Bacteroides salyersiae CSP6,13669,16641,9669,12641,1
CDS,with_protein,GCF_031172035.1,NZ_CP133452.1,2054825,2056006,0,WP_007478783.1,site-specific integrase,xerC,RB604_RS07580,1182,393,Bacteroides salyersiae CSP6,17581,18762,7548,8729,1
CDS,with_protein,GCF_031172035.1,NZ_CP133452.1,2056458,2059682,1,WP_240050233.1,TonB-dependent receptor,susC,RB604_RS07585,3225,1074,Bacteroides salyersiae CSP6,19214,22438,3872,7096,0
CDS,with_protein,GCF_031172035.1,NZ_CP133452.1,2059702,2061351,1,WP_005926063.1,RagB/SusD family nutrient uptake outer membrane protein,susD,RB604_RS07590,1650,549,Bacteroides salyersiae CSP6,22458,24107,2203,3852,0
CDS,with_protein,GCF_031172035.1,NZ_CP133452.1,2061716,2062252,1,WP_005926061.1,hypothetical protein,other,RB604_RS07595,537,178,Bacteroides salyersiae CSP6,24472,25008,1302,1838,0
CDS,with_protein,GCF_031172035.1,NZ_CP133452.1,2062292,2063554,1,WP_007478779.1,GTPase HflX,hflX,RB604_RS07600,1263,420,Bacteroides salyersiae CSP6,25048,26310,0,1262,0
CDS,with_protein,GCF_018292205.1,NZ_CP072258.1,85896,87152,0,WP_005678644.1,GTPase HflX,hflX,INE72_RS00385,1257,418,Bacteroides caccae CL03T12C61,0,1256,0,1256,0
CDS,with_protein,GCF_018292205.1,NZ_CP072258.1,87332,88213,0,WP_005682621.1,hypothetical protein,other,INE72_RS00390,882,293,Bacteroides caccae CL03T12C61,1436,2317,1436,2317,0
CDS,with_protein,GCF_018292205.1,NZ_CP072258.1,88227,89852,0,WP_005678642.1,RagB/SusD family nutrient uptake outer membrane protein,susD,INE72_RS00395,1626,541,Bacteroides caccae CL03T12C61,2331,3956,2331,3956,0
CDS,with_protein,GCF_018292205.1,NZ_CP072258.1,89870,92923,0,WP_187171387.1,TonB-dependent receptor,susC,INE72_RS00400,3054,1017,Bacteroides caccae CL03T12C61,3974,7027,3974,7027,0
CDS,with_protein,GCF_018292205.1,NZ_CP072258.1,93504,94697,0,WP_005682618.1,site-specific integrase,xerC,INE72_RS00405,1194,397,Bacteroides caccae CL03T12C61,7608,8801,7608,8801,0
CDS,with_protein,GCF_018292205.1,NZ_CP072258.1,95147,98335,1,WP_032838531.1,SusC/RagA family TonB-linked outer membrane protein,susC,INE72_RS00410,3189,1062,Bacteroides caccae CL03T12C61,9251,12439,9251,12439,1
CDS,with_protein,GCF_018292205.1,NZ_CP072258.1,98352,99911,1,WP_005682615.1,SusD/RagB family nutrient-binding outer membrane lipoprotein,susD,INE72_RS00415,1560,519,Bacteroides caccae CL03T12C61,12456,14015,12456,14015,1
CDS,with_protein,GCF_018292205.1,NZ_CP072258.1,99982,100641,0,WP_005682614.1,MarC family protein,marC,INE72_RS00420,660,219,Bacteroides caccae CL03T12C61,14086,14745,14086,14745,0
CDS,with_protein,GCF_020091505.1,NZ_CP081916.1,134356,135615,0,WP_055270586.1,GTPase HflX,hflX,K6V30_RS00975,1260,419,Bacteroides faecis BFG-108,0,1259,0,1259,0
CDS,with_protein,GCF_020091505.1,NZ_CP081916.1,135721,137181,0,WP_022301465.1,SusD/RagB family nutrient-binding outer membrane lipoprotein,susD,K6V30_RS00980,1461,486,Bacteroides faecis BFG-108,1365,2825,1365,2825,0
CDS,with_protein,GCF_020091505.1,NZ_CP081916.1,137201,140101,0,WP_055270589.1,SusC/RagA family TonB-linked outer membrane protein,susC,K6V30_RS00985,2901,966,Bacteroides faecis BFG-108,2845,5745,2845,5745,0
CDS,with_protein,GCF_020091505.1,NZ_CP081916.1,140569,141069,0,WP_055270591.1,lipid-binding protein,other,K6V30_RS00990,501,166,Bacteroides faecis BFG-108,6213,6713,6213,6713,0
CDS,with_protein,GCF_020091505.1,NZ_CP081916.1,141080,141772,0,WP_022301463.1,BT_2262 family domain-containing protein,other,K6V30_RS00995,693,230,Bacteroides faecis BFG-108,6724,7416,6724,7416,0
CDS,with_protein,GCF_020091505.1,NZ_CP081916.1,141800,143296,0,WP_055270593.1,SusD/RagB family nutrient-binding outer membrane lipoprotein,susD,K6V30_RS01000,1497,498,Bacteroides faecis BFG-108,7444,8940,7444,8940,0
CDS,with_protein,GCF_020091505.1,NZ_CP081916.1,143309,146500,0,WP_224207237.1,SusC/RagA family TonB-linked outer membrane protein,susC,K6V30_RS01005,3192,1063,Bacteroides faecis BFG-108,8953,12144,8953,12144,0
CDS,with_protein,GCF_020091505.1,NZ_CP081916.1,146952,148142,1,WP_010539501.1,site-specific integrase,xerC,K6V30_RS01010,1191,396,Bacteroides faecis BFG-108,12596,13786,12596,13786,1
CDS,with_protein,GCF_020091505.1,NZ_CP081916.1,148964,151870,1,WP_262903700.1,TonB-dependent receptor,susC,K6V30_RS01015,2907,968,Bacteroides faecis BFG-108,14608,17514,14608,17514,1
CDS,with_protein,GCF_020091505.1,NZ_CP081916.1,151890,153299,1,WP_055270601.1,RagB/SusD family nutrient uptake outer membrane protein,susD,K6V30_RS01020,1410,469,Bacteroides faecis BFG-108,17534,18943,17534,18943,1
CDS,without_protein,GCF_020091505.1,NZ_CP081916.1,153394,155055,0,,IS1182-like element ISBthe2 family transposase,IS,K6V30_RS01025,1662,,Bacteroides faecis BFG-108,19038,20699,19038,20699,0
CDS,with_protein,GCF_020091505.1,NZ_CP081916.1,155246,155905,0,WP_010535335.1,MarC family protein,marC,K6V30_RS01030,660,219,Bacteroides faecis BFG-108,20890,21549,20890,21549,0
CDS,with_protein,GCF_018292125.1,NZ_CP072251.1,7132700,7133959,0,WP_007213076.1,GTPase HflX,hflX,INE78_RS27305,1260,419,Bacteroides cellulosilyticus CL06T03C01,0,1259,0,1259,0
CDS,with_protein,GCF_018292125.1,NZ_CP072251.1,7134000,7134542,0,WP_007219643.1,hypothetical protein,other,INE78_RS27310,543,180,Bacteroides cellulosilyticus CL06T03C01,1300,1842,1300,1842,0
CDS,with_protein,GCF_018292125.1,NZ_CP072251.1,7134539,7136386,0,WP_007219644.1,thiol protease/hemagglutinin PrtT,other,INE78_RS27315,1848,615,Bacteroides cellulosilyticus CL06T03C01,1839,3686,1839,3686,0
CDS,with_protein,GCF_018292125.1,NZ_CP072251.1,7136629,7139160,0,WP_060407974.1,thiol protease/hemagglutinin PrtT,other,INE78_RS27320,2532,843,Bacteroides cellulosilyticus CL06T03C01,3929,6460,3929,6460,0
CDS,with_protein,GCF_018292125.1,NZ_CP072251.1,7139336,7140967,0,WP_118401606.1,RagB/SusD family nutrient uptake outer membrane protein,susD,INE78_RS27325,1632,543,Bacteroides cellulosilyticus CL06T03C01,6636,8267,6636,8267,0
CDS,with_protein,GCF_018292125.1,NZ_CP072251.1,7140988,7143939,0,WP_026367597.1,TonB-dependent receptor,susC,INE78_RS27330,2952,983,Bacteroides cellulosilyticus CL06T03C01,8288,11239,8288,11239,0
CDS,with_protein,GCF_018292125.1,NZ_CP072251.1,7144744,7146246,0,WP_007219743.1,RagB/SusD family nutrient uptake outer membrane protein,susD,INE78_RS27335,1503,500,Bacteroides cellulosilyticus CL06T03C01,12044,13546,12044,13546,0
CDS,with_protein,GCF_018292125.1,NZ_CP072251.1,7146264,7149314,0,WP_034755122.1,SusC/RagA family TonB-linked outer membrane protein,susC,INE78_RS27340,3051,1016,Bacteroides cellulosilyticus CL06T03C01,13564,16614,13564,16614,0
CDS,with_protein,GCF_018292125.1,NZ_CP072251.1,7150026,7150985,0,WP_195507138.1,hypothetical protein,other,INE78_RS27345,960,319,Bacteroides cellulosilyticus CL06T03C01,17326,18285,17326,18285,0
CDS,with_protein,GCF_018292125.1,NZ_CP072251.1,7151009,7152598,0,WP_007212736.1,RagB/SusD family nutrient uptake outer membrane protein,susD,INE78_RS27350,1590,529,Bacteroides cellulosilyticus CL06T03C01,18309,19898,18309,19898,0
CDS,with_protein,GCF_018292125.1,NZ_CP072251.1,7152631,7155576,0,WP_007212737.1,SusC/RagA family TonB-linked outer membrane protein,susC,INE78_RS27355,2946,981,Bacteroides cellulosilyticus CL06T03C01,19931,22876,19931,22876,0
CDS,with_protein,GCF_018292125.1,NZ_CP072251.1,7156204,7156440,0,WP_227087798.1,RagB/SusD family nutrient uptake outer membrane protein,susD,INE78_RS27360,237,78,Bacteroides cellulosilyticus CL06T03C01,23504,23740,23504,23740,0
CDS,with_protein,GCF_018292125.1,NZ_CP072251.1,7156817,7158454,0,WP_007219741.1,RagB/SusD family nutrient uptake outer membrane protein,susD,INE78_RS27365,1638,545,Bacteroides cellulosilyticus CL06T03C01,24117,25754,24117,25754,0
CDS,with_protein,GCF_018292125.1,NZ_CP072251.1,7158483,7161449,0,WP_034755120.1,SusC/RagA family TonB-linked outer membrane protein,susC,INE78_RS27370,2967,988,Bacteroides cellulosilyticus CL06T03C01,25783,28749,25783,28749,0
CDS,with_protein,GCF_018292125.1,NZ_CP072251.1,7162013,7162807,0,WP_007219738.1,hypothetical protein,other,INE78_RS27375,795,264,Bacteroides cellulosilyticus CL06T03C01,29313,30107,29313,30107,0
CDS,with_protein,GCF_018292125.1,NZ_CP072251.1,7162836,7164392,0,WP_007219737.1,RagB/SusD family nutrient uptake outer membrane protein,susD,INE78_RS27380,1557,518,Bacteroides cellulosilyticus CL06T03C01,30136,31692,30136,31692,0
CDS,with_protein,GCF_018292125.1,NZ_CP072251.1,7164415,7167336,0,WP_245006242.1,SusC/RagA family TonB-linked outer membrane protein,susC,INE78_RS27385,2922,973,Bacteroides cellulosilyticus CL06T03C01,31715,34636,31715,34636,0
CDS,with_protein,GCF_018292125.1,NZ_CP072251.1,7168241,7169434,0,WP_007212827.1,site-specific integrase,xerC,INE78_RS27390,1194,397,Bacteroides cellulosilyticus CL06T03C01,35541,36734,35541,36734,0
CDS,with_protein,GCF_018292125.1,NZ_CP072251.1,7169887,80,1,WP_245006243.1,carboxypeptidase-like regulatory domain-containing protein,susC,INE78_RS00005,345,114,Bacteroides cellulosilyticus CL06T03C01,37187,37532,37187,37532,1
CDS,with_protein,GCF_018292125.1,NZ_CP072251.1,277,3222,1,WP_007212737.1,SusC/RagA family TonB-linked outer membrane protein,susC,INE78_RS00010,2946,981,Bacteroides cellulosilyticus CL06T03C01,37729,40674,37729,40674,1
CDS,with_protein,GCF_018292125.1,NZ_CP072251.1,3255,4109,1,WP_245006244.1,RagB/SusD family nutrient uptake outer membrane protein,susD,INE78_RS27990,855,284,Bacteroides cellulosilyticus CL06T03C01,40707,41561,40707,41561,1
CDS,with_protein,GCF_018292125.1,NZ_CP072251.1,4087,4884,1,WP_245006245.1,RagB/SusD family nutrient uptake outer membrane protein,susD,INE78_RS27995,798,265,Bacteroides cellulosilyticus CL06T03C01,41539,42336,41539,42336,1
CDS,with_protein,GCF_018292125.1,NZ_CP072251.1,4868,5215,1,WP_245006246.1,hypothetical protein,other,INE78_RS28000,348,115,Bacteroides cellulosilyticus CL06T03C01,42320,42667,42320,42667,1
CDS,with_protein,GCF_018292125.1,NZ_CP072251.1,5229,5828,1,WP_245006247.1,hypothetical protein,other,INE78_RS28005,600,199,Bacteroides cellulosilyticus CL06T03C01,42681,43280,42681,43280,1
CDS,with_protein,GCF_018292125.1,NZ_CP072251.1,6541,9591,1,WP_034755122.1,SusC/RagA family TonB-linked outer membrane protein,susC,INE78_RS00025,3051,1016,Bacteroides cellulosilyticus CL06T03C01,43993,47043,43993,47043,1
CDS,with_protein,GCF_018292125.1,NZ_CP072251.1,9609,11111,1,WP_007219743.1,RagB/SusD family nutrient uptake outer membrane protein,susD,INE78_RS00030,1503,500,Bacteroides cellulosilyticus CL06T03C01,47061,48563,47061,48563,1
CDS,with_protein,GCF_018292125.1,NZ_CP072251.1,11916,14855,1,WP_029427385.1,SusC/RagA family TonB-linked outer membrane protein,susC,INE78_RS00035,2940,979,Bacteroides cellulosilyticus CL06T03C01,49368,52307,49368,52307,1
CDS,with_protein,GCF_018292125.1,NZ_CP072251.1,14884,16479,1,WP_211480310.1,RagB/SusD family nutrient uptake outer membrane protein,susD,INE78_RS00040,1596,531,Bacteroides cellulosilyticus CL06T03C01,52336,53931,52336,53931,1
CDS,with_protein,GCF_018292125.1,NZ_CP072251.1,16515,17399,1,WP_007212580.1,hypothetical protein,other,INE78_RS00045,885,294,Bacteroides cellulosilyticus CL06T03C01,53967,54851,53967,54851,1
CDS,with_protein,GCF_018292125.1,NZ_CP072251.1,17465,18109,0,WP_007212579.1,MarC family protein,marC,INE78_RS00050,645,214,Bacteroides cellulosilyticus CL06T03C01,54917,55561,54917,55561,0
CDS,protein-coding,GCF_013009555.1,NZ_CP046176.1,737975,738664,1,WP_007836420.1,YjjG family noncanonical pyrimidine nucleotidase,YjjG,GKD17_RS02825,,229,Phocaeicola dorei DSM 17855,0,689,25622,26311,0
CDS,protein-coding,GCF_013009555.1,NZ_CP046176.1,738879,740420,0,WP_007836419.1,RagB/SusD family nutrient uptake outer membrane protein,susD,GKD17_RS02830,,513,Phocaeicola dorei DSM 17855,904,2445,23866,25407,1
CDS,protein-coding,GCF_013009555.1,NZ_CP046176.1,740523,743321,0,WP_007836416.1,SusC/RagA family TonB-linked outer membrane protein,susC,GKD17_RS02835,,932,Phocaeicola dorei DSM 17855,2548,5346,20965,23763,1
CDS,protein-coding,GCF_013009555.1,NZ_CP046176.1,743571,745067,0,WP_007836414.1,RagB/SusD family nutrient uptake outer membrane protein,susD,GKD17_RS02840,,498,Phocaeicola dorei DSM 17855,5596,7092,19219,20715,1
CDS,protein-coding,GCF_013009555.1,NZ_CP046176.1,745080,748208,0,WP_007836412.1,SusC/RagA family TonB-linked outer membrane protein,susC,GKD17_RS02845,,1042,Phocaeicola dorei DSM 17855,7105,10233,16078,19206,1
CDS,protein-coding,GCF_013009555.1,NZ_CP046176.1,748577,749737,1,WP_007836410.1,site-specific integrase,xerC,GKD17_RS02850,,386,Phocaeicola dorei DSM 17855,10602,11762,14549,15709,0
CDS,protein-coding,GCF_013009555.1,NZ_CP046176.1,749857,750630,1,WP_007839296.1,IS5 family transposase,IS,GKD17_RS02855,,257,Phocaeicola dorei DSM 17855,11882,12655,13656,14429,0
CDS,protein-coding,GCF_013009555.1,NZ_CP046176.1,752023,754962,1,WP_007836407.1,SusC/RagA family TonB-linked outer membrane protein,susC,GKD17_RS02860,,979,Phocaeicola dorei DSM 17855,14048,16987,9324,12263,0
CDS,protein-coding,GCF_013009555.1,NZ_CP046176.1,754987,756528,1,WP_007836406.1,RagB/SusD family nutrient uptake outer membrane protein,susD,GKD17_RS02865,,513,Phocaeicola dorei DSM 17855,17012,18553,7758,9299,0
CDS,protein-coding,GCF_013009555.1,NZ_CP046176.1,756553,757341,1,WP_007836405.1,hypothetical protein,other,GKD17_RS02870,,262,Phocaeicola dorei DSM 17855,18578,19366,6945,7733,0
CDS,protein-coding,GCF_013009555.1,NZ_CP046176.1,758380,761331,1,WP_007836400.1,SusC/RagA family TonB-linked outer membrane protein,susC,GKD17_RS02875,,983,Phocaeicola dorei DSM 17855,20405,23356,2955,5906,0
CDS,protein-coding,GCF_013009555.1,NZ_CP046176.1,761355,762941,1,WP_007836399.1,RagB/SusD family nutrient uptake outer membrane protein,susD,GKD17_RS02880,,528,Phocaeicola dorei DSM 17855,23380,24966,1345,2931,0
CDS,protein-coding,GCF_013009555.1,NZ_CP046176.1,763033,764286,1,WP_007836398.1,GTPase HflX,hflX,GKD17_RS02885,,417,Phocaeicola dorei DSM 17855,25058,26311,0,1253,0
CDS,protein-coding,GCF_000012825.1,NC_009614.1,2383840,2384529,1,WP_005842658.1,YjjG family noncanonical pyrimidine nucleotidase,YjjG,BVU_RS09320,,229,Phocaeicola vulgatus ATCC 8482,0,689,35145,35834,0
CDS,protein-coding,GCF_000012825.1,NC_009614.1,2384680,2386155,0,WP_005842656.1,RagB/SusD family nutrient uptake outer membrane protein,susD,BVU_RS09325,,491,Phocaeicola vulgatus ATCC 8482,840,2315,33519,34994,1
CDS,protein-coding,GCF_000012825.1,NC_009614.1,2386184,2389192,0,WP_005849136.1,TonB-dependent receptor,susC,BVU_RS09330,,1002,Phocaeicola vulgatus ATCC 8482,2344,5352,30482,33490,1
CDS,protein-coding,GCF_000012825.1,NC_009614.1,2389560,2390720,1,WP_011965357.1,site-specific integrase,xerC,BVU_RS09335,,386,Phocaeicola vulgatus ATCC 8482,5720,6880,28954,30114,0
CDS,protein-coding,GCF_000012825.1,NC_009614.1,2391332,2394271,1,WP_117615958.1,TonB-dependent receptor,susC,BVU_RS09340,,979,Phocaeicola vulgatus ATCC 8482,7492,10431,25403,28342,0
CDS,protein-coding,GCF_000012825.1,NC_009614.1,2394296,2395837,1,WP_005839570.1,RagB/SusD family nutrient uptake outer membrane protein,susD,BVU_RS09345,,513,Phocaeicola vulgatus ATCC 8482,10456,11997,23837,25378,0
CDS,protein-coding,GCF_000012825.1,NC_009614.1,2395862,2396650,1,WP_005839567.1,hypothetical protein,other,BVU_RS09350,,262,Phocaeicola vulgatus ATCC 8482,12022,12810,23024,23812,0
CDS,protein-coding,GCF_000012825.1,NC_009614.1,2397644,2400601,1,WP_049764195.1,TonB-dependent receptor,susC,BVU_RS09360,,985,Phocaeicola vulgatus ATCC 8482,13804,16761,19073,22030,0
CDS,protein-coding,GCF_000012825.1,NC_009614.1,2400620,2402143,1,WP_011965361.1,RagB/SusD family nutrient uptake outer membrane protein,susD,BVU_RS09365,,507,Phocaeicola vulgatus ATCC 8482,16780,18303,17531,19054,0
CDS,protein-coding,GCF_000012825.1,NC_009614.1,2402288,2403943,1,WP_011965362.1,IS1182 family transposase,IS,BVU_RS09370,,551,Phocaeicola vulgatus ATCC 8482,18448,20103,15731,17386,0
CDS,protein-coding,GCF_000012825.1,NC_009614.1,2404399,2407332,1,WP_080510696.1,TonB-dependent receptor,susC,BVU_RS09375,,977,Phocaeicola vulgatus ATCC 8482,20559,23492,12342,15275,0
CDS,protein-coding,GCF_000012825.1,NC_009614.1,2407351,2408829,1,WP_005847051.1,RagB/SusD family nutrient uptake outer membrane protein,susD,BVU_RS09380,,492,Phocaeicola vulgatus ATCC 8482,23511,24989,10845,12323,0
CDS,protein-coding,GCF_000012825.1,NC_009614.1,2409098,2412010,1,WP_080510697.1,TonB-dependent receptor,susC,BVU_RS09385,,970,Phocaeicola vulgatus ATCC 8482,25258,28170,7664,10576,0
CDS,protein-coding,GCF_000012825.1,NC_009614.1,2412023,2413519,1,WP_005839145.1,RagB/SusD family nutrient uptake outer membrane protein,susD,BVU_RS09390,,498,Phocaeicola vulgatus ATCC 8482,28183,29679,6155,7651,0
CDS,protein-coding,GCF_000012825.1,NC_009614.1,2413702,2416719,1,WP_011965365.1,TonB-dependent receptor,susC,BVU_RS09395,,1005,Phocaeicola vulgatus ATCC 8482,29862,32879,2955,5972,0
CDS,protein-coding,GCF_000012825.1,NC_009614.1,2416743,2418329,1,WP_005839819.1,RagB/SusD family nutrient uptake outer membrane protein,susD,BVU_RS09400,,528,Phocaeicola vulgatus ATCC 8482,32903,34489,1345,2931,0
CDS,protein-coding,GCF_000012825.1,NC_009614.1,2418421,2419674,1,WP_005839821.1,GTPase HflX,hflX,BVU_RS09405,,417,Phocaeicola vulgatus ATCC 8482,34581,35834,0,1253,0
CDS,protein-coding,GCF_000190575.1,NC_015164.1,3347564,3349039,0,,RagB/SusD family nutrient uptake outer membrane protein,susD,BACSA_RS14345,,491,Phocaeicola salanitronis DSM 18170,0,1475,27301,28776,1
CDS,protein-coding,GCF_000190575.1,NC_015164.1,3349073,3351868,0,,TonB-dependent receptor,susC,BACSA_RS14350,,931,Phocaeicola salanitronis DSM 18170,1509,4304,24472,27267,1
CDS,protein-coding,GCF_000190575.1,NC_015164.1,3352076,3352294,1,,DUF3791 domain-containing protein,other,BACSA_RS14355,,72,Phocaeicola salanitronis DSM 18170,4512,4730,24046,24264,0
CDS,protein-coding,GCF_000190575.1,NC_015164.1,3352291,3352764,1,,DUF3990 domain-containing protein,other,BACSA_RS14360,,157,Phocaeicola salanitronis DSM 18170,4727,5200,23576,24049,0
